dtg,lat,lng,mag,depth
"1913-08-06 22:14:00",-17.000000,-74.000000,7.90,33
"1913-10-14 08:08:00",-19.500000,169.000000,8.10,230
"1914-05-08 18:01:00",37.700000,15.200000,4.90,0
"1914-05-28 11:27:00",39.200000,36.000000,5.60,0
"1914-05-31 00:00:00",-0.200000,-78.200000,5.80,10
"1914-10-17 06:22:00",38.250000,23.250000,6.00,0
"1914-11-27 14:39:00",38.800000,20.600000,6.30,30
"1914-10-03 22:06:00",37.820000,30.270000,7.00,0
"1914-01-12 00:00:00",31.580000,130.670000,7.10,0
"1914-03-15 20:00:00",39.200000,139.800000,7.20,33
"1914-02-26 04:58:00",-17.000000,-72.000000,7.20,130
"1914-08-04 22:41:00",43.500000,91.500000,7.50,0
"1914-03-30 00:41:00",16.800000,-92.200000,7.50,150
"1914-10-23 06:18:00",6.000000,132.500000,7.60,60
"1914-06-25 19:07:00",-3.924000,101.820000,7.60,35
"1914-01-30 03:35:00",-35.000000,-73.000000,7.60,33
"1914-11-24 11:53:00",22.000000,143.000000,8.10,110
"1914-05-26 14:22:00",-1.829000,136.943000,8.10,15
"1915-11-06 00:00:00",-1.000000,136.000000,6.00,0
"1915-06-23 04:56:00",32.800000,-115.500000,6.20,0
"1915-11-18 20:19:00",18.000000,119.500000,6.40,0
"1915-12-29 00:00:00",14.560000,-88.760000,6.60,0
"1915-08-07 15:04:00",38.500000,20.700000,6.70,14
"1915-12-03 02:39:00",29.500000,91.500000,7.00,0
"1915-07-31 01:31:00",53.500000,163.300000,7.30,20
"1915-01-13 06:52:00",42.000000,13.500000,7.50,10
"1915-10-03 06:52:00",40.500000,-117.500000,7.60,0
"1915-06-06 21:29:00",-18.500000,-68.500000,7.60,160
"1915-02-28 18:59:00",23.600000,123.500000,7.70,60
"1915-11-01 07:23:00",38.300000,142.900000,7.80,60
"1915-09-07 01:20:00",14.000000,-89.000000,7.90,80
"1915-05-01 05:00:00",47.000000,155.000000,8.10,25
"1916-10-28 08:15:00",46.300000,14.600000,4.90,11
"1916-07-03 23:21:00",38.817000,15.233000,5.10,0
"1916-11-14 22:31:00",24.000000,121.000000,6.00,0
"1916-08-28 07:27:00",23.700000,120.900000,6.50,0
"1916-04-26 02:21:00",9.600000,-82.000000,7.00,25
"1916-04-24 04:26:00",18.500000,-68.000000,7.20,80
"1916-09-11 06:36:00",-9.000000,113.000000,7.30,100
"1916-04-18 04:01:00",53.300000,-170.000000,7.50,170
"1916-02-27 20:20:00",11.000000,-86.000000,7.50,60
"1916-08-03 01:30:00",-4.000000,144.500000,7.50,60
"1916-08-25 09:44:00",-21.000000,-68.000000,7.50,180
"1916-06-21 21:32:00",-28.500000,-63.000000,7.50,600
"1916-02-06 21:51:00",48.500000,178.500000,7.70,60
"1916-10-31 15:30:00",46.500000,160.000000,7.70,60
"1916-08-28 06:39:00",30.000000,81.000000,7.70,33
"1916-01-24 06:55:00",41.000000,37.000000,7.80,33
"1916-04-21 11:31:00",33.000000,141.000000,7.80,60
"1916-01-01 13:20:00",-4.739000,152.548000,7.90,35
"1916-02-01 07:36:00",29.500000,131.500000,8.00,33
"1916-01-13 06:18:00",-3.000000,136.000000,8.10,30
"1916-01-13 08:20:00",-3.000000,135.500000,8.10,16
"1917-04-26 09:36:00",43.500000,12.100000,5.50,33
"1917-01-29 08:22:00",45.900000,15.600000,5.60,13
"1917-05-06 12:19:00",23.200000,121.600000,5.80,33
"1917-12-26 04:30:00",14.600000,-90.600000,6.00,0
"1917-01-24 00:48:00",31.300000,116.200000,6.30,0
"1917-01-04 16:50:00",23.900000,120.900000,6.30,0
"1917-01-31 03:39:00",6.000000,125.000000,6.40,0
"1917-01-25 00:00:00",24.470000,118.080000,6.50,0
"1917-01-20 23:11:00",-7.000000,116.000000,6.60,0
"1917-06-08 00:51:00",13.820000,-89.310000,6.70,0
"1917-07-30 23:54:00",28.000000,104.000000,6.80,33
"1917-08-31 11:36:00",4.000000,-74.000000,7.30,40
"1917-07-31 03:23:00",42.500000,131.000000,7.50,460
"1917-07-29 21:52:00",-3.705000,141.729000,7.50,0
"1917-11-16 03:19:00",-29.000000,-177.500000,7.50,60
"1917-07-04 00:38:00",25.000000,123.000000,7.70,60
"1917-12-29 22:50:00",15.000000,-97.000000,7.70,33
"1917-01-30 02:45:00",56.500000,163.000000,7.80,40
"1917-08-30 04:07:00",-7.500000,128.000000,7.80,100
"1917-05-31 08:47:00",54.790000,-169.120000,7.90,0
"1917-05-01 18:26:00",-29.200000,-177.000000,8.00,0
"1917-06-26 05:49:00",-15.500000,-173.000000,8.30,25
"1918-08-14 00:00:00",26.900000,103.000000,5.50,0
"1918-04-21 22:32:00",33.700000,-117.000000,6.80,0
"1918-02-13 06:07:00",23.500000,117.200000,7.30,23
"1918-10-11 14:14:00",18.500000,-67.500000,7.30,60
"1918-02-07 05:20:00",6.500000,126.500000,7.50,120
"1918-07-03 06:52:00",-3.500000,142.500000,7.50,60
"1918-07-08 10:22:00",24.500000,91.000000,7.60,60
"1918-01-30 21:18:00",45.400000,136.500000,7.70,350
"1918-11-08 04:38:00",44.500000,151.500000,7.80,25
